"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan admin get test","Get all spartan","SUCCESS","2022-05-10T11:45:11.565145-04:00[America/New_York]","0.0","3.2"
"Spartan admin get test","Get one spartan","SUCCESS","2022-05-10T11:45:14.778102-04:00[America/New_York]","0.0","0.01"
