"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan admin get test","Get all spartan","SUCCESS","2022-05-10T11:26:47.793022-04:00[America/New_York]","0.0","2.98"
"Spartan admin get test","Get one spartan","SUCCESS","2022-05-10T11:26:50.800595-04:00[America/New_York]","0.0","0.91"
